职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
电话专员有资源年终奖五险,5000-9000元·13薪,,1年以下,高中,恩施·恩施市·舞阳坝街道,中国大地财产保险股份有限公司,"国企
         
          10000人以上
         
          保险"
中控员-招朝阳大厦国本中控（45岁以下）,6000-7000元,"消防中控证
中级消防中控证",经验不限,学历不限,北京·大兴,北京京瑶物业管理有限公司,"其它
         
          100-299人
         
          搬家/生活配送"
门诊护士无夜班,4000-5000元,中医科,1-3年,学历不限,武汉·汉阳·龙阳,武汉市素藤医疗健康咨询有限公司,"股份制企业
         
          100-299人
         
          卫生服务"
槟榔烟酒配送,300-400元/天,"公司提供电瓶车
无驾照要求
文件证照
电子产品
生活日用
生鲜
蛋糕
服装饰品
全城范围配送
按区域配送
会骑电动车
熟练使用导航
无犯罪记录",经验不限,学历不限,苏州·昆山·玉山,温州安飞餐饮管理有限公司,"民营
         
          20-99人
         
          餐饮服务"
小象超市配送月入1.5W+可兼职日结可全职,1-1.5万·13薪,"新人奖
提供车住
全职兼职均可
工作轻松
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,深圳·龙华·大浪,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
西南大区销售经理,7000-14000元·13薪,,3-5年,本科,成都·郫都·合作街道,成都迈可维微波电子有限公司,"民营
         
          20-99人
         
          电子/半导体/集成电路"
品牌专员,7000-9000元·13薪,"品牌渠道
品牌策划
品牌设计
广播媒介
户外媒介
海外品牌
政府品牌
个人品牌",3-5年,本科,南昌·红谷滩·沙井,南昌瞬声建筑有限公司,"民营
         
          100-299人
         
          建筑设计"
时间自由/日均3百左右招配送骑手提供车住,7000-8000元,"公司提供电动车/摩托车
无驾照要求
餐饮外卖
会骑电动车
无犯罪记录
熟练使用导航
饿了么",经验不限,学历不限,咸阳·秦都区·陈杨寨街道,武汉东亿科技有限公司,"民营
         
          100-299人
         
          餐饮服务"
外贸业务员双休五险一金,8000-16000元,"阿里巴巴国际站
中国制造网
Amazon",经验不限,本科,合肥·蜀山·新产业园,合肥恒创新能源有限公司,"其它
         
          100-299人
         
          新能源"
帮老板开车，底薪七千,9000-12000元,领导专职司机,3-5年,学历不限,绵阳·涪城区,四川圣达运力科技有限公司,"其它
         
          20-99人
         
          汽车后市场"
