职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
销售代表/+可以就近分配,8000-10000元,置业,经验不限,学历不限,天津·武清·杨村,天津市郡利达房屋信息咨询有限公司,"民营
         
          100-299人
         
          房地产中介"
日用品销售专员,8000-12000元,,1-3年,大专,天津·河东·春华,北京艺斯丽文化传播有限公司,"20-99人
         
          人力资源服务"
红酒销售经理,4000-8000元,"企业客户
政府客户
个人客户
面销/陌拜
代理商销售
渠道销售",1-3年,学历不限,天津·静海·静海镇,奇朔酒业,"其它
         
          20-99人
         
          快速消费品"
销售顾问,4000-7000元,"院校客户
医疗机构
政府客户
网络销售
渠道销售",经验不限,大专,天津·东丽·华明,德帆科博(天津)科技服务有限公司,"民营
         
          20-99人
         
          计算机软件"
业务代表,5000-10000元,"企业客户
个人客户
面销/陌拜
电话销售
网络销售",1-3年,中专/中技,天津·南开·体育中心,艾莎(天津)钢铁有限公司,"民营
         
          20-99人
         
          贸易/进出口"
销售代表,5000-10000元,"面销/陌拜
地推销售
代理商销售",1-3年,大专,天津·北辰·小淀,淄博正象食品有限公司,"100-299人
         
          快速消费品"
业务销售,8000-15000元,,3-5年,学历不限,天津·滨海新区·杭州道,连展科技(天津)有限公司,"外商独资
         
          300-499人
         
          电子/半导体/集成电路"
电气销售顾问,4000-8000元,面销/陌拜,经验不限,学历不限,天津·津南·双桥河,天津信德思源科技有限公司,"民营
         
          20人以下
         
          工业自动化"
高薪销售岗+六险一金+周末双休+不加班,1.2-2.2万,"企业客户
面销/陌拜
网络销售
电话销售",经验不限,大专,天津·静海·静海镇,中国平安人寿保险股份有限公司河北分公司2,"上市公司
         
          10000人以上
         
          保险"
工业自动化销售,6000-12000元,"院校客户
代理商销售
面销/陌拜
电话销售",1-3年,大专,天津·东丽·军粮城,天津拓普特科技有限公司,"民营
         
          100-299人
         
          电气机械/电力设备"
汽车销售顾问（北辰店）,1-1.5万,"汽车销售
普通话流利
汽车
会议/展览",1-3年,大专,天津·北辰·天穆,天津市冀津汽车贸易有限公司,"民营
         
          20-99人
         
          汽车研发/制造"
七小时工作制+早九晚六到点下班+社区综合业务顾问+六险一金,8000-12000元,渠道销售,无经验,大专,天津·河西·大营门,中国平安人寿保险股份有限公司河北分公司2,"上市公司
         
          10000人以上
         
          保险"
销售专员,7000-12000元,电话销售,经验不限,大专,天津·河西·大营门,天津众益联生产力促进有限公司,"股份制企业
         
          20-99人
         
          咨询服务"
区域销售经理（高薪诚招）,8000-15000元,"面销/陌拜
电话销售
网络销售",1-3年,大专,天津·河西·友谊路,厦门千灵岛网络科技有限公司,"20-99人
         
          广告/营销"
70%最高提成通提+社保+上9:30下17:30+销售顾问,9000-15000元,"有无经验都可以，有师傅带教
会基本电脑操作
团建+旅游
订单管理
内勤管理
销售数据分析
电话销售
门店销售
区域销售
高提成
团建福利
渠道销售",经验不限,学历不限,天津·河西,天津永信房地产经纪有限公司,"其它
         
          20-99人
         
          房地产中介"
财会电话销售,4000-8000元,"电话销售
代理记账",1-3年,大专,天津·南开·体育中心,天创传媒(天津)有限公司,"民营
         
          20-99人
         
          广告/营销"
房产销售上九下六+时间自由+宝 妈上班接娃两不误,8000-16000元,"企业客户
政府客户
个人客户
电话销售
网络销售
面销/陌拜",经验不限,学历不限,天津·武清·东蒲洼,天津鑫阳房地产信息咨询有限公司,"民营
         
          100-299人
         
          房地产中介"
销售拓客岗,5000-10000元,"企业客户
网络销售
电话销售",无经验,学历不限,天津·南开·水上公园,东方梅地亚影视传媒(天津)有限公司,"民营
         
          20人以下
         
          广播/影视"
上9:30下17:30的销售，70%提成通提,9000-15000元,"五险
团建福利
高提成
不限学历，不限经验
会基本电脑操作
团建+半年国内游+年底国际游
住宅房产
商业房产
新房
二手房
租赁
门店销售
区域销售
电话销售",经验不限,学历不限,天津·河西,天津永信房地产经纪有限公司,"其它
         
          20-99人
         
          房地产中介"
地产中介销售,7000-14000元,"企业客户
个人客户
电话销售
网络销售
面销/陌拜",经验不限,学历不限,天津·武清·东蒲洼,天津鑫阳房地产信息咨询有限公司,"民营
         
          100-299人
         
          房地产中介"
热门学区住宅顾问/买卖租赁/高提成,9000-17000元,"个人客户
企业客户
电话销售
门店销售
网络销售",经验不限,学历不限,天津·和平·五大道,天津市佳诺房地产经纪有限公司,"民营
         
          300-499人
         
          房地产中介"
销售业务跟单员,5000-8000元,"企业客户
电话销售
网络销售
渠道销售
个人客户
医疗机构",1-3年,大专,天津·北辰·果园新村,天津长荣伟业超音波科技有限公司,"民营
         
          20-99人
         
          电气机械/电力设备"
销售精英38岁以下出差底薪1.5万,1.5-3万,器械销售,经验不限,中专/中技,天津·河西·友谊路,大连双龙泵业集团有限公司,"民营
         
          500-999人
         
          通用设备制造"
应届生+包住宿+有五险+免费旅游,4000-8000元,"会议/会展销售
门店销售
地推销售",无经验,学历不限,天津·河东·春华,天津未来环保科技有限公司,"股份制企业
         
          100-299人
         
          环保"
商务顾问/双休/五险一金 (MJ025536),7000-13000元,"个人客户
企业客户
电话销售
网络销售",经验不限,学历不限,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
家门口的好工作＋早九晚六＋双休法休＋收入稳定＋提供良好的晋升渠道＋拒绝加班＋客户经理,面议,"销售
理赔
个人客户
KA大客户
渠道销售
门店销售",经验不限,大专,天津·西青·中北,中国平安,"上市公司
         
          10000人以上
         
          银行"
