职位,薪水,关键词,工作经验,学历,公司,工作地址,公司情况
高级法务专员,7000-14000元·13薪,"英语四级以上
英语基本读写能力
律师事务所
外资企业
上市企业
律师执业证
A类法律职业资格证
B类法律职业资格证
知识产权业务
司法仲裁
债权债务",1-3年,本科,天津市河西区鑫线通国际文化传媒工作室(个体工商户),天津·西青·大寺,"民营
         
          20-99人
         
          学术/科研"
调解员（法学背景）,4000-7000元,,3-5年,大专,天津市和平区为公调解中心,天津·和平·小白楼,"20-99人
         
          社团/组织/社会保障"
公司法务助理,5000-6000元,"司法仲裁
劳动纠纷
合同事务",1年以下,本科,天津弘瑞国际贸易有限公司,天津·滨海新区·杭州道,"民营
         
          20人以下
         
          贸易/进出口"
法务专员,7000-10000元,A类法律职业资格证,1-3年,本科,天津鼎维固模架工程股份有限公司,天津·滨海新区·新河,"股份制企业
         
          100-299人
         
          工程施工"
法务专员,3000-6000元,"民事诉讼
合同事务
债权债务
A类法律职业资格证",1-3年,本科,嗨车购(天津)融资租赁有限公司,天津·河西·尖山,"民营
         
          20-99人
         
          汽车4S店/经销商"
法务专员,6000-8000元,劳动纠纷,1-3年,本科,科威恒信(天津)医疗供应链管理服务有限公司,天津·武清·运河西,"民营
         
          20-99人
         
          医疗设备/器械"
法务专员,6000-8000元,"劳动纠纷
司法仲裁
债权债务
大型企业
中型企业
集团公司",1-3年,本科,天津锐新昌新能源科技有限公司,天津·西青·中北,"上市公司
         
          100-299人
         
          汽车零部件"
法务（建筑工程公司）,5000-6000元,"合同事务
债权债务",1-3年,本科,芸悦建设集团有限公司,天津·滨海新区·北塘,"民营
         
          20-99人
         
          工程施工"
法务专员,5000-6000元,"劳动纠纷
司法仲裁
合同事务
律师事务所
中型企业",1-3年,本科,天津市郁峰化工有限公司,天津·西青·王稳庄,"民营
         
          20-99人
         
          石油/石化"
法务岗,7000-12000元,"劳动纠纷
知识产权业务
合同事务
律师事务所
集团公司
大型企业
律师执业证",经验不限,本科,天津市金桥焊材集团股份有限公司,天津·东丽·新立,"民营
         
          1000-9999人
         
          金属制品业"
董事长助理-法务,7000-10000元,"劳动纠纷
司法仲裁",5-10年,本科,潮亿科技集团有限公司,天津·北辰·宜兴埠,"股份制企业
         
          300-499人
         
          汽车4S店/经销商"
金融调解,4000-8000元,"债权债务
调解中心",1-3年,大专,天津市滨海新区忠信调解中心,天津·滨海新区·杭州道,"社会团体
         
          20-99人
         
          法律服务"
合规法务专员,5000-8000元,合同事务,1-3年,本科,稳力(天津)环保科技有限公司,天津·西青·杨柳青,"民营
         
          20-99人
         
          环保"
法务岗（国企外包岗）,6000-12000元,"司法仲裁
合同事务
国营企业
上市企业
集团公司
律师执业证
C类法律职业资格证
B类法律职业资格证",3-5年,本科,昀通(天津)人力资源服务有限公司,天津·滨海新区·塘沽,"民营
         
          1000-9999人
         
          人力资源服务"
法务专员,4000-6000元,"合同事务
债权债务
律师执业证",1-3年,本科,天津桂诚企业管理咨询有限公司,天津·西青·西营门,"民营
         
          20-99人
         
          投资/融资"
法务专员,1-2万,"劳动纠纷
知识产权业务
股权业务
大型企业
中型企业
律师执业证
A类法律职业资格证
B类法律职业资格证",1-3年,本科,天津博玥科技发展有限公司,天津·东丽·万新,"民营
         
          20-99人
         
          仪器仪表制造"
法务专员,6000-10000元,,3-5年,本科,麦购集团有限公司,天津·和平·南市,"民营
         
          100-299人
         
          物业管理"
企业法务专员+双休,4000-8000元,劳动纠纷,1-3年,本科,天浩工程技术服务(天津)有限公司,天津·滨海新区·杭州道,"民营
         
          1000-9999人
         
          人力资源服务"
