职位,薪水,经验,学历,关键词,工作地址
肯德基兼职服务员,3000-5000元,经验不限,高中,"职位描述
西式快餐
全勤奖金
免费工装
带薪培训
主要工作职责
你将从事:
-对客服务类工作:满足顾客需要，给顾客带来完美用餐体验
-产品制作类工作:直接参与食品、饮料等多种产品的制作工作，学习国际连锁西餐厅的高标准制作工艺
你将得到:
系统正规的培训，广阔的发展空间:
“关爱成员的大家庭”企业文化
与年轻的伙伴快乐共事，感受充满激情的团队氛围
弹性安排工作时间
丰富多彩的团队活动
完善的薪资福利
你的发展空间:
系统正规的培训，由你自己主导自我发展
服务员→楼面经理一更高管理职位。
职位任职资格
1、年龄满18周岁以上，高中或同等以上学历
2、热情开朗，正直诚信，善于与人沟通，有团队精神
3、适应快节奏、高效的工作环境
4、乐于从事连锁餐饮零售业","工作地点
拱墅区肯德基(杭州经贸店)
查看地图"
快餐厅服务员周结-宝安8店（机场T3店）,3000-6000元,经验不限,中专/中技,"职位描述
西餐厅
免费工装
就近门店上班
以下门店就近选择：

宝利豪庭店；智驾公园店；桥和路店；宝安机场店；燕罗店；石岩奋达店；华发冰雪世界店；欢乐港湾店；泰逸大厦店

工作内容：
1、布置餐厅和餐桌；

2、引领客人入座就席，协助客人点菜，向客人介绍特色或时令菜点；

3、整理餐厅的清洁卫生。4、烤制产品，产品组装，配发餐。

5、招聘年龄：18-50岁","工作地点
宝安区肯德基(深圳宝安国际机场店)
查看地图"
郑州/室内上2休1站点服务员+包吃住,5000-7000元,经验不限,学历不限,"职位描述
包吃包住
加班补贴
免费工装
节日福利
五险
短期
放心咨询，不收任何费用！！
工作岗位：本市线路的各站点就近安排！！
[福利待遇]
1、薪酬范围：月收入4000~7000元（包吃住）+工作服+空调+WiFi
2、每两个月提供一次晋升机会，每个人都有机会成为班长-队长-经理。
3、我们有免费的带薪培训，有老员工一对一指导工作
[工作内容]
1.负责宣传引导人群进入区域。
2.对物品进行针对性探测、检查、确定物品性质，及时移交现场处理并做好记录。
[任职要求]
1、年龄18—35周岁
2，身体健康、责任心强、服从管理、无学历限制，学历不限。
[工作时间]
1、上班时间：8小时制（包含休息和吃饭时间）
2、休息时间自由安排，可连休
工作能力与工作态度决定你的薪资与职位~
公司氛围轻松，同事友好相处，共同进步。欢迎你的加入!","工作地点
郑州二七区医学院A口
查看地图"
服务员,5000-7000元,三里屯,1-3年,职位描述包吃包住工作职责： 1.负责店内卫生的清理，负责接待、下单 2.接待顾客主动、热情、耐心、周到 3.做好餐厅的卫生清洁，供餐完毕后对餐厅地面、桌面进行卫生清理   职位要求：  能吃苦耐劳，踏实肯干  薪资待遇：  5-6k/月，包吃包住，交社保,"工作地点
北京朝阳区小大董(太古里店)
查看地图"
年前/室内上2休1站点服务员6500+,5000-7000元,经验不限,学历不限,"职位描述
包吃包住
全勤奖金
免费工装
节日福利
加班补贴
上二休一
五险
放心咨询，不收任何费用！！
工作岗位：本市线路的各站点就近安排！！
[福利待遇]
1、薪酬范围：月收入4000~7000元（包吃住）+工作服+空调+WiFi
2、每两个月提供一次晋升机会，每个人都有机会成为班长-队长-经理。
3、我们有免费的带薪培训，有老员工一对一指导工作
[工作内容]
1.负责宣传引导人群进入区域。
2.对物品进行针对性探测、检查、确定物品性质，及时移交现场处理并做好记录。
[任职要求]
1、年龄18—45周岁
2，身体健康、责任心强、服从管理、无学历限制，学历不限。
[工作时间]
1、上班时间：8小时制（包含休息和吃饭时间）
2、休息时间自由安排，可连休
工作能力与工作态度决定你的薪资与职位~
公司氛围轻松，同事友好相处，共同进步。欢迎你的加入!","工作地点
武汉江岸区三阳路C口
查看地图"
服务员娱乐,5000-6000元,经验不限,学历不限,"职位描述
包吃包住
周末双休
1. 为客人提供优质的餐饮服务； 2. 推荐菜品、酒水； 3. 维护餐厅环境整洁； 4. 处理客户投诉，及时上报； 5. 配合餐厅的运营活动。 我们期待你的加入，共同打造一流的餐饮体验！","工作地点
重庆市南岸区南滨路84号（喜来登酒店以东500米）6楼
查看地图"
广州各区轻松服务员兼职日结,17元/时,经验不限,学历不限,"职位描述
中餐厅
火锅店
烧烤店
免费工装
各区餐厅/游乐园 周六日服务员兼职

17-19/小时 包吃住 日结 寒假工安排
可以+微信 详细了解","工作地点
广州海珠区宝岗汇1
查看地图"
台球厅服务员/包吃住薪资6000+/面试简单轻松包过,6000-7000元,经验不限,学历不限,"职位描述
包吃包住
加班补贴
全勤奖金
工龄奖金
台球
【台球厅服务员招聘】
我们正在寻找热情开朗、热爱服务行业的你加入台球厅大家庭！
工作内容：
1. 负责台球厅日常接待，引导顾客就座、开台结账
2. 维护球厅卫生，保持台面、球杆及公共区域整洁
3. 协助顾客摆球、更换巧粉，提供基础台球指导
4. 检查维护器材，及时反馈设备问题
任职要求：
1. 16～40岁，男女不限，有无经验均可（带薪培训）
2. 性格外向，具备良好沟通能力，服务意识强
3. 工作认真负责，能适应轮班制（含晚班）
4. 对台球运动有兴趣者优先
薪资福利：
• 底薪4000～5000提成+全勤奖，月均6000～7000
• 免费学习台球技巧，定期员工赛赢奖金
• 包食宿/房补（可选），节日福利+季度团建
• 晋升通道：服务员→领班→店长，能力强者3个月可晋升
工作时间：早班10:00-20:00，晚班14:00-凌晨2:00（轮班）
台球厅氛围轻松，同事年轻好相处，既能赚钱又能掌握一门技能！欢迎踏实肯干的你投递简历或直接来电咨询.","工作地点
北京通州区马驹桥商业街
查看地图"
北京肯德基总部直招-东城区金宝汇 肯德基-全职兼职服务员 就近分配/80011145,4000-5000元,经验不限,高中,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全
职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京东城区灯市口地铁站C东南口
查看地图"
北京肯德基总部直招/西城区/地安门肯德基-全职兼职服务员 就近分配/86001036,4000-5000元,经验不限,高中,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全
职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京东城区南锣鼓巷地铁站A西北口
查看地图"
餐饮服务员,3000-5000元,1-3年,高中,"职位描述
包吃包住
加班补贴
食堂
工龄奖金
免费工装
节日福利
岗位职责：
1、巡检管辖区域设备情况，开餐前做好餐前后的各项工作。
2、了解当日用餐情况，负责本餐厅的客餐、工作餐的统计的签认工作。
3、观察用餐情况，收集客人的意见和建议，及时和上级领导沟通。
4、完成领导和上级安排的其他工作。
任职要求：
1、大专及以上学历，30岁以下，相关工作经验或者条件优秀者可放宽。
2、身心健康，无重大疾病隐患，无纹身。
3、服从管理，过往无违法犯罪记录。
职位福利：六险一金、包吃、包住、带薪年假、定期体检、节日福利、健身俱乐部、国企
职位亮点：国企稳定不失业、包吃包住、年终奖","工作地点
凉山西昌市官地
查看地图"
日料店招聘兼职服务员+24元/小时+法定三薪+时间自由,5000-7000元,经验不限,学历不限,"职位描述
西餐厅
免费工装
兼职的形式，时间自由，不包吃住，一周至少出勤3天，其中一天是周末，介意勿扰！！！
招聘岗位：
前厅：服务员，点单，收银，迎宾，后厨：寿司制作，备料，洗净（面试定岗）
薪资待遇：
早班: 8：30-2:00
晚班: 18:00-24:00
一周至少出勤4天
周六日至少出勤1天
时薪24元/小时，月度超出167个小时1.5倍工资，法定三薪
应聘要求：
性别学历不限，能接受服务岗位，有餐饮行业经验优先。
兼职的形式，时间自由，不包吃住，一周至少出勤3天，介意勿扰！！！","工作地点
滨湖区无锡万象城2楼 （商城外围） 寿司郎店铺
查看地图"
餐厅部 服务员,4000-5000元,经验不限,学历不限,职位描述自助餐点餐包吃包住全勤奖金工龄奖金1.自助餐：做好区域卫生清洁等餐前准备  2.点餐：按流程接待客户，包含点餐上菜撤桌，服务周到  3.无不良记录，身体健康。  工作时间：10：30-22：30，月休3天  或者 上一天一宿休一天一宿，9点到次日9点，1点后有3小时睡觉时间   30-50岁之间，提供食宿  底薪3200+200满勤+提成，综合薪资4000+,"工作地点
绿园区大江户温泉洗浴(长春店)
查看地图"
兼职服务员（4-6H）,4000-5000元,经验不限,高中,"职位描述
西餐厅
咖啡店
甜品店
工作内容:
1、按照主管安排认真做好桌椅、餐厅卫生，餐厅铺台，准备好各种用品，确保正常营业使用
2、接待顾客应主动、热情、礼貌、耐心、周到
3、运用礼貌语言，为客人提供最佳服务
4、善于向顾客介绍和推销本餐厅饮品及特色菜点
5、配合主管工作，服从主管或以上领导指挥，团结及善于帮助同事工作；
6、积极参加培训，不断提高服务技能。
任职资格：
1、品行端正，能吃苦耐劳，初中以以上学历","工作地点
常州天宁区韩麦咖啡(红梅公园店)北门入口往南走100米
查看地图"
服务员,5000-7000元,3-5年,高中,职位描述中餐厅1、热情主动地迎接客人；2、解答客人提出的问题；3、回答顾客的询问，为顾客解决问题；4、以最佳的情绪和态度对待顾客各种不稳定的情绪。1、有餐饮工作经验    2、形象良好，外露肌肤无纹身和大面积疤痕；    3、普通话流利，具备良好的沟通交流能力；    4、具备良好的服务意识；    5、会基本电脑操作，会统计数据制作报表。    工作时间：9：00-21：00，单休,"工作地点
南京江宁区麒麟人工智能产业园-D区
查看地图"
（J94295）北京肯德基总部直招/朝阳区区/垡头西路 肯德基-全职兼职服务员 就近分配/80011057,4001-5000元,经验不限,高中,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全

职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
朝阳区北京联合大学
查看地图"
服务员,3000-4000元,1-3年,学历不限,"职位描述
火锅店
岗位职责： 1、按时到岗，接受主管分配的任务。 2、做好所辖区域环境、物品设备、餐具用具的卫生清洁工作。 3、做好开餐前的各项准备工作，及时按要求补充各种物品。 4、按照标准和要求，规范摆台，布置餐厅，了解预定及菜品酒水信息。 5、按照餐厅规定的服务标准和程序细心周到地做好各个环节（如迎客、点菜、巡台、起菜、买单、送客等）的对客服务工作。 任职要求： 1.身材相貌佳，无纹身，无犯罪记录。联系电话：***********","工作地点
山东省聊城市东昌府区柳园街道后菜市街8-88
查看地图"
合肥做六休一服务员,3000-4000元,1年以下,学历不限,"职位描述
做六休一
工作时间：8:30-23:00（一天八小时左右，根据排班制轮班）
工作内容：全岗位轮岗
① 前厅：迎宾领位、点餐、配餐、上餐、送水、收桌、发传单等
② 后厨：备品制作，餐品制作及出餐
③ 餐厅卫生清洁：洗碗（有洗碗机）、厨房卫生清洁（倒垃圾）、餐厅卫生等","工作地点
合肥蜀山区之心城购物中心
查看地图"
寒假工-游乐园服务员6000+包吃包住+公寓式宿舍，拎包入职,6000-7000元,经验不限,学历不限,"职位描述
中餐厅
西餐厅
咖啡店
包吃包住
五险一金
周末双休
加班补贴
寒假工
广州游乐园招聘高达260/天包吃住
【工作要求】16-40周岁，不限，153以上，身高163以上 ，无夸张染发与外露纹身；
【招聘职位】游客接待员，商场部，客服，保安员，演艺部，餐饮部，厨工部，等等岗位现场分配，可无经验
【工作班次】 最早9:00 最晚22:00 这个时间段内排班，每天8-11小时根据客流量排班，
【薪资待遇】
元旦兼职 可日结 18-26元一小时 包吃住
寒假工：18-26元/时+包吃住，公寓式宿舍，拎包入职，免费通过床上用品5件套，被子+枕+ 床垫+被子套+枕头套，以及每个宿舍有洗衣机
综合工资6000元+
【工资发放】每月10号发一次工资，7天可以预支，可银行卡可支付宝","工作地点
广州增城区挂绿广场01
查看地图"
服务员（合生汇杭点局）,6000-7000元,经验不限,初中及以下,"职位描述
中餐厅
包吃包住
工龄奖金
免费工装
节日福利
工作内容:
1、按照主管安排认真做好桌椅、餐厅卫生，餐厅铺台，准备好各种用品，确保正常营业使用
2、接待顾客应主动、热情、礼貌、耐心、周到
3、运用礼貌语言，为客人提供最佳服务
4、善于向顾客介绍和推销本餐厅饮品及特色菜点
5、配合主管工作，服从主管或以上领导指挥，团结及善于帮助同事工作；
6、积极参加培训，不断提高服务技能。
任职资格：
1、品行端正，能吃苦耐劳，初中以以上学历","工作地点
朝阳区杭点局·点心葱油面(北京首店)
查看地图"
兼职服务员24元/时+可以周末兼职,24元/时,经验不限,学历不限,"职位描述
西餐厅
中餐厅
甜品店
免费工装
工作内容：
1、能接受通岗，前厅后厨都能接受，前厅负责客人点餐，接待客人，后厨负责寿司和制作一些小餐品，接受偶尔洗碗，有洗碗阿姨有洗碗机，阿姨忙不过来会临时帮忙。
岗位要求：
1、年龄18-40岁，洗碗工能接受50左右的。身体健康，不能有明显纹身、皮肤病、染发类的，能服从店长安排，需要食品健康证 ，没有证的可以先面试再办理食品健康证。
薪资：
1、24元/小时，节假日48元/时
2、 薪资月结，次月15号结算。
周末工作时间
平日下午17至23点，或者全职
能稳定长期三个月以上的。不包住宿
上班点：
苏州就近门店","工作地点
吴中区苏州工业园区苏州中心广场-68幢2
查看地图"
北京肯德基总部直招/朝阳区/大屯路 肯德基-全职兼职服务员 就近分配/86001588,4001-5000元,经验不限,高中,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全
职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京朝阳区大屯路东(地铁站)
查看地图"
北京肯德基总部直招/丰台区/方庄肯德基-全职兼职服务员 就近分配/86001014,4000-5000元,刘家窑,经验不限,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全
职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京丰台区刘家窑(地铁站)
查看地图"
北京肯德基总部直招/朝阳区/樱花园东街肯德基-全职兼职服务员 就近分配/86001118,4001-5000元,经验不限,高中,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全
职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京朝阳区光熙门(地铁站)
查看地图"
西餐店服务员,4000-5000元,1年以下,学历不限,"职位描述
西餐厅
岗位职责：
1、按时到岗，接受主管分配的任务。
2、做好所辖区域环境、物品设备、餐具用具的卫生清洁工作。
3、做好开餐前的各项准备工作，及时按要求补充各种物品。
4、按照标准和要求，规范摆台，布置餐厅，了解预定及菜品酒水信息。
5、按照餐厅规定的服务标准和程序细心周到地做好各个环节（如迎客、点菜、巡台、起菜、买单、送客等）的对客服务工作。
任职要求：
1.身材相貌佳，无纹身，无犯罪记录。
2.工作认真负责，有服务意识。","工作地点
哈尔滨松北区太阳城堡度假酒店(太阳岛景区索道店)
查看地图"
湘菜餐厅服务员（深业上城店）,4000-5000元,经验不限,学历不限,"职位描述
中餐厅
包吃包住
免费工装
可实习生
过年需要在岗
招岗位:服务员 寒假工勿扰！！！!
岗位职责:
1、负责收台上菜、服务客人
2、服从上级安排岗位
要求:
1.年龄18-35周岁 接受实习生/应届生 可盖实习协议 有经验者优先
薪资待遇
1.每天工作8~9小时
2综合薪资4500-5000月包吃包住/宿舍设备齐全
3包吃住，宿舍4~6人间/设备齐全/做满十天中途可预支工资。
4.可接受实习生，可开实习证明，三方协议可盖章。
职位福利:加班补助、每年多次调薪、包住、包吃、年轻化团队、多次晋升机会，可预支工资
职位亮点:2~3月调薪一次","工作地点
深圳福田区隐厨(深业上城店)
查看地图"
服务员,4000-5000元,经验不限,学历不限,"职位描述
五险一金
餐饮服务
因集团总公司需要，诚招服务员一名
45岁以内、做事认真负责、爱岗敬业、身体健康、五官端正，有团队合作精神，为人谦和诚实，有酒店服务经验者优先考虑。负责接待、倒水、收拾碗筷、包间区域卫生等。

地址：黄岛区富春江路1667号","工作地点
青岛黄岛区信达大厦
查看地图"
贵州餐厅服务员（万象店）,4000-5000元,经验不限,学历不限,"职位描述
中餐厅
包吃包住
免费工装
可实习生
过年需要在岗
招岗位:服务员 寒假工勿扰！！！!
岗位职责:
1、负责收台上菜、服务客人
2、服从上级安排岗位
要求:
1.年龄16-30周岁 接受实习生/应届生 可盖实习协议 有经验者优先
薪资待遇
1.每天工作8~9小时
2综合薪资4500-5000月包吃包住/宿舍设备齐全
3包吃住，宿舍4~6人间/设备齐全/做满十天中途可预支工资。
4.可接受实习生，可开实习证明，三方协议可盖章。
职位福利:加班补助、每年多次调薪、包住、包吃、年轻化团队、多次晋升机会，可预支工资
职位亮点:2~3月调薪一次","工作地点
深圳南山区上山下山·贵州菜(万象前海店)
查看地图"
400一天奶茶专送服务员配车可兼职,5000-8000元,经验不限,学历不限,"职位描述
全勤奖金
免费工装
节日福利
加班补贴
奶茶配送、包车当天安排住宿
新人入职补贴2000！！
配送范围三公里，只需配送
全长沙就近安排
1天：350元（保底薪资）；
7天：2500元；
22天：8000元
可短期长期日结周结均可！！
人走账清不拖欠
提供食宿（荤素管饱）（2-4人间)
诚信直招6-8人，入职无押金！！
感兴趣的直接联系~","工作地点
长沙岳麓区岳麓山国家重点风景名胜区-东门268
查看地图"
（J420674）北京肯德基总部直招/朝阳区/景辉街 肯德基 服务员 就近分配/80011196,4001-5000元,经验不限,高中,职位描述西餐厅加班补贴全勤奖金  肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！  【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店  【福利待遇】：  1、肯德基门店就近分配，无试用期，无押金  2、上班员工享受企业内部专享特惠员工餐  3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作180小时享受额外的月度全勤奖  4、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理  5、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全职位福利：节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可  职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务,"工作地点
北京朝阳区肯德基(景辉街店)
查看地图"
（J230221）北京肯德基总部直招/朝阳区/芳菲路 肯德基-全职兼职服务员 就近分配/80011070,4000-5000元,经验不限,高中,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全
职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京丰台区首经贸(地铁站)
查看地图"
火锅店服务员（深南店）,4000-5000元,大冲,经验不限,"职位描述
中餐厅
包吃包住
免费工装
可实习生
过年需要在岗
招岗位:服务员 寒假工勿扰！！！!
岗位职责:
1、负责收台上菜、服务客人
2、服从上级安排岗位
要求:
1.年龄16-30周岁 接受实习生/应届生 可盖实习协议 有经验者优先
薪资待遇
1.每天工作8~9小时
2综合薪资4500-5000月包吃包住/宿舍设备齐全
3包吃住，宿舍4~6人间/设备齐全/做满十天中途可预支工资。
4.可接受实习生，可开实习证明，三方协议可盖章。
职位福利:加班补助、每年多次调薪、包住、包吃、年轻化团队、多次晋升机会，可预支工资
职位亮点:2~3月调薪一次","工作地点
深圳南山区阅黔·贵州非遗酸汤火锅(万象天地店)
查看地图"
普陀温泉酒店服务员 5K 包吃住,5000-6000元,经验不限,学历不限,"职位描述
中餐厅
火锅店
包吃包住
温泉酒店《后勤》
早班：9:30-18:30
晚班：17:30-次日2:30
55岁以内，洗浴用品的补充
浴场巡逻设备，有问题及时报修
基本薪资4200+满勤250（不满勤按天折算）+办卡奖金+中晚班津贴+误餐津贴+深夜交通补贴+房帖","工作地点
上海普陀区极乐汤(金沙江店)2
查看地图"
餐厅服务员,3000-4000元,经验不限,学历不限,"职位描述
中餐厅
火锅店
包吃包住
节日福利
工龄奖金
全勤奖金
免费工装
岗位要求：
1、按照店长安排认真做好桌椅、餐厅卫生，餐厅铺台，准备好各种用品，确保正常营业使用；
2、接待顾客应主动、热情、礼貌、耐心、周到，让顾客有宾至如归之感；
3、运用礼貌语言，为客人提供服务；
4、善于向顾客介绍和推销本餐厅饮品及特色菜点；
5、积极参加公司培训，不断提高服务技能。","工作地点
广西壮族自治区桂林市秀峰区红岭路1号桂林万象城
查看地图"
轻松单位内部食堂会所服务员,3000-5000元,经验不限,中专/中技,"职位描述
对内食堂会所
岗位职责：
1、按时到岗，接受主管分配的任务。
2、做好所辖区域环境、物品设备、餐具用具的卫生清洁工作。
3、做好开餐前的各项准备工作，及时按要求补充各种物品。
4、按照标准和要求，规范摆台，布置餐厅，了解预定及菜品酒水信息。
5、按照餐厅规定的服务标准和程序细心周到地做好各个环节（如迎客、点菜、巡台、起菜、买单、送客等）的对客服务工作。
任职要求：
1.身材相貌佳，年龄20-30岁，中专及以上学历，单休。工作时间：10:30-14:00，16:00-21:00
周休1天，节假日可轮休","工作地点
石家庄桥西区塔坛国际-3号写字楼
查看地图"
日料餐饮服务员/包吃 6000-7000,6000-7000元,经验不限,学历不限,"职位描述
日料
节日福利
免费工装
加班补贴
包吃
工作时间：8小时制 根据门店排班制 加班费 年假 节假日三薪
工作内容：
① 前厅：迎宾领位、点餐、配餐、上餐、送水、收桌、
②后厨：后厨（做寿司面食备餐之内的）","工作地点
上海杨浦区国华国际广场国华国际广场
查看地图"
