职位,薪水,经验,学历,关键词,工作地址
山西迎泽区肯德基服务员就近分配,3000-6000元,大南门,经验不限,"职位描述
西餐厅
咖啡店
岗位职责：
服务员：由于餐饮特殊性，门店需要倒班，早班6-14，中班11-20，晚班16-24，以上均为一个大概范围，这边是提前1周排班的，会和您沟通实际的上班时间，具体您的任务情况会根据您的可供班时间和餐厅实际运营需求灵活调整，兼职一周需要稳定供班4天及以上，需包含周六日
咖啡师班次6-14 14-23
任职要求：
1. 具备良好的团队合作精神；
2. 能够快速学习并掌握餐饮相关技能；
3. 对餐饮行业有浓厚兴趣，愿意从基层做起。
4.就近分配","工作地点
太原迎泽区肯德基(迎泽店)
查看地图"
急招服务员包吃住12800,8000-9000元,经验不限,学历不限,"职位描述
包吃包住
任职要求：
1、具备较强的学习能力、目标性强、吃苦耐劳 、责任心强
2、具备优秀的客户服务意识，良好的沟通表达能力，管理协调能力
3、身体健康，吃苦耐劳，服从上级安排；　　　
4、工作积极主动，服务意识强，极强责任心，能吃苦耐劳。","工作地点
深圳龙岗区龙河路26号(龙城广场地铁站C口步行490米)B座2-11038
查看地图"
烤鸭店餐厅招服务员/包吃住/6-7k/工作轻松不累,6000-7000元,经验不限,学历不限,职位描述中餐厅火锅店包吃包住全勤奖金工龄奖金免费工装节日福利餐饮行业烤鸭店服务员工作内容：服务员负责前厅承菜，点菜。工作轻松不累。  薪资待遇：底薪5000+提成，综合薪资6-7k   上班时间：早10晚10，中间休息2个小时     包吃住 法定节假日三薪     免费工装 热水器 节日福利,"工作地点
北京东城区全聚德(王府井店)4层
查看地图"
跨年夜兼职！！【幻师】酒吧服务员+20/小时,20元/时,经验不限,学历不限,"职位描述
酒吧
跨年夜12月31号兼职！！！兼职！！！兼职！！！兼职！！！
岗位职责:
主要负责餐厅餐品摆放，和客户离场餐桌清理（简单来说，端盘子，收拾桌面垃圾）
工资:20元/小时，扣除半小时吃饭时间，收假后第二个工作日结算工资
上班时间： 21:00-04:00
任职资格:
1、性别不限，18-28岁，有相关工作经验优先。
2、自备黑色鞋子，黑色裤子","工作地点
成都新都区COMMUNE幻师(超线公园店)
查看地图"
跟姐干兼职300-400/天,400元/天,经验不限,学历不限,职位描述包吃包住节日福利日薪;400-500/天 面试后就近安排    可兼职日结人走账清    无任何套路和押金    招聘8人,"工作地点
长沙天心区南湖路1
查看地图"
北京管吃住/服务员/节假日三薪,5000-7000元,五棵松,经验不限,"职位描述
中餐厅
包吃包住
全勤奖金
工龄奖金
免费工装
一、工作职责:
1.负责迎客、点菜、上菜、巡台、送客等服务
二、岗位要求:
学历不限，会使用智能手机
三、薪资福利:
1、底薪+提成，综合6000-8000
2、免费食宿
3、每月享有公休
4、结婚礼金、生日礼金等
5、法定三薪
包吃包住：一日三餐，宿舍拎包入住，空调、热水器、洗衣机、WiFi、洗发水、沐浴露","工作地点
北京海淀区全聚德(西翠路店)101
查看地图"
服务员,6000-8000元,1-3年,学历不限,"职位描述
普通话流利
餐饮经验
服务员经验
内部食堂
会所
包吃包住
岗位职责：
1、负责公司内部会所餐前、餐中、餐后服务工作:
2、负责公司内部会所日常来访人员接待工作;
3、负责餐厅、日常清洁管理工作。
要求：
1、年龄18-30岁，身体健康、仪表端庄
2、热爱本职工作，有主动服务迎客意识，较强的责任心;
3、熟悉餐饮服务流程，熟知日常接待礼仪
4、有餐厅服务或会所高服经验者优先。
《公司内部食堂》","工作地点
北京市-丰台区-西三环南路55号
查看地图"
中西餐-包间服务员-4000-管吃住-莲湖区,4000-5000元,经验不限,学历不限,"职位描述
服务员
中餐厅
包吃包住
餐包间服务员
一、岗位职责：
1、引领客人入座，接受点菜及提供食品饮料；
2、向客人呈送菜单，回答客人问询并为客人提供关于食品、饮料及服务的建议；
3.做好餐厅的卫生清洁，供餐完毕后对餐厅地面、桌面进行卫生清理。
二、基本要求：
1、32周岁以内，身体健康，无纹身烟疤不良嗜好。
三、薪资待遇：
1、基本工资4000、节日福利、包住、包吃、提供管吃管住、月综合工资5000-6000。
地址：莲湖区西稍门","工作地点
莲湖区西安广成酒店·中餐厅.
查看地图"
西餐厅服务员,3000-4000元,经验不限,学历不限,"职位描述
西餐厅
工作内容：负责点餐，上餐，清理桌面。
岗位要求：年龄40周岁以内，形象好气质佳，普通话标准，沟通能力强，有一定销售能力，具有良好的团队合作精神。有相关工作经验者优先录取","工作地点
辽阳白塔区上岛咖啡(曙光家园店)
查看地图"
前厅服务员（鞍山碧乐城）,3000-4000元,经验不限,学历不限,"职位描述
西餐厅
岗位职责：
1. 负责前厅的服务与管理，确保顾客服务质量。
2. 维护店内正常运营秩序，处理顾客投诉和突发事件。
3. 监督员工遵守公司规章制度，执行服务流程和标准。
4. 负责前厅员工培训与评估，提高团队整体服务水平。
岗位要求：
1.接受经验。
2. 良好的沟通协调能力，能有效处理顾客关系。
3. 熟悉餐饮服务流程和标准，有较强的团队管理能力。
4. 有上进心，愿意与公司共同成长。","工作地点
鞍山铁东区欧罗巴(碧乐城店)1
查看地图"
