职业,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
新媒体运营,5000-7000元,"营销策划
行业经验",3-5年,大专,天津·西青·大寺,天津耳朵眼餐饮管理有限公司,"民营
         
          1000-9999人
         
          餐饮服务"
网络销售,5000-10000元,"企业客户（2B）
个人客户（2C）
大客户（KA）
销售专员
建筑业",1-3年,大专,天津·河西·陈塘庄,河北德方建筑材料有限公司,"民营
         
          20-99人
         
          金属制品业"
网络坐班销售双休五险一金,5000-10000元,"面销/陌拜
渠道销售",3-5年,大专,天津·河东·春华,北京汉达森机械技术有限公司,"民营
         
          100-299人
         
          贸易/进出口"
网络销售,100-150元/天,"个人客户
企业客户",无经验,大专,天津·西青·大寺,天津瑞浩集团有限公司,"20-99人
         
          工业自动化"
贝壳，链家地产，高薪聘销售，高提成，五险一金，晋升快,8000-16000元,,经验不限,大专,天津·河西·挂甲寺,贝壳找房(北京)科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
电话销售五险双休,5000-8000元,机械/重工,经验不限,中专/中技,天津·北辰·双街,天津市汇信燃气设备有限公司,"民营
         
          20-99人
         
          电气机械/电力设备"
无责四千+40%提成+50个电话,9000-18000元,个人客户,经验不限,学历不限,天津·河东·春华,天津九九八商铺房地产经纪有限公司,"民营
         
          20-99人
         
          互联网"
电商平台销售经理,6000-12000元·13薪,"代理商销售
面销/陌拜
区域销售
政府客户
企业客户",1-3年,大专,天津·河西·尖山,天津光电通电子科技有限公司,"国企
         
          300-499人
         
          电子设备制造"
市区-新房销售-自媒体销售-房产销售-每月固定客资,9000-12000元,"自媒体
房产销售
入职送客资",1-3年,学历不限,天津·河东·春华,贝壳找房(北京)科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
必须双休10号发薪！大公司销售(J10217),5000-8000元,,无经验,大专,天津·南开·万兴,开林企业管理集团有限公司,"民营
         
          1000-9999人
         
          互联网"
汽车网销专员,6000-9000元,个人客户,经验不限,学历不限,天津·西青·大寺,天津嘉和众益汽车销售有限公司,"民营
         
          20-99人
         
          汽车4S店/经销商"
英语外贸业务员,6000-7000元,,1-3年,大专,天津·津南·咸水沽,天津市松锦湾进出口有限公司,"民营
         
          20-99人
         
          贸易/进出口"
网络销售顾问,6000-9000元,"KA大客户
企业客户
院校客户",经验不限,大专,天津·西青·西营门,云海传媒(天津)有限公司,"民营
         
          20人以下
         
          互联网"
时间灵活 可照顾家 保险销售专员,8000-12000元,个人客户,经验不限,学历不限,天津·和平·小白楼,中国人寿保险股份有限公司天津市和平区支公司(笙泉直属团队),"国企
         
          1000-9999人
         
          保险"
网络销售,5000-10000元,"人工智能
互联网行业
物联网
机械/重工
医疗设备/器械
农/林/牧/渔
销售专员
企业客户（2B）",经验不限,高中,天津·静海·大邱庄,天津市铭发钢铁销售有限公司,"民营
         
          20人以下
         
          钢铁/有色金属冶炼及加工"
