职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
（居家办公）+五险一金+国企续保专员,4000-8000元,,经验不限,学历不限,景德镇·珠山区·里村街道,中国大地财产保险股份有限公司,"国企
         
          10000人以上
         
          保险"
办公室文员早8：30-17:00不加班,6000-7000元,,经验不限,高中,烟台·福山·古现,烟台猎金人力资源有限公司,"民营
         
          500-999人
         
          人力资源服务"
急招！！！——AI开发实习生（大模型方向）,100-120元/天,"大模型算法
GPT
自然语言处理
Python",无经验,硕士,成都·武侯·桂溪,成都华栖云科技有限公司,"合资
         
          300-499人
         
          互联网"
二手车车贷综合运营内勤,4000-6000元,贷款审核,1年以下,大专,郑州·惠济·长兴路,河南金俊途汽车销售有限公司,"股份制企业
         
          20-99人
         
          汽车金融"
业务资源合伙人 河北、保定,2-4万,"渠道销售
区域销售
代理商销售
资源合伙
工业生产制造
汽车汽配制造",3-5年,学历不限,保定·莲池·南大园,北京川乾科技有限公司,"20人以下
         
          仪器仪表制造"
PEU电机控制器环境类测试工程师-六险一金-上市外企,2-3万,"环境测试
动力总成
VW80000
硬件测试
电子测试",3-5年,本科,南通·崇川,万宝盛华企业管理咨询（上海）有限公司,"上市公司
         
          500-999人
         
          咨询服务"
java软件开发工程师,9000-15000元,"MySQL
Spring
JavaScript",3-5年,本科,南京·秦淮·大光路,南京江锐仓储设备制造有限公司,"民营
         
          300-499人
         
          贸易/进出口"
业务合伙人-工业制造、航天、军品、汽车制造,2-4万,"汽车制造销售
工业生产制造
军品生产制造
航空航天生产制造
仪器仪表销售
机械设备销售",3-5年,学历不限,成都·郫都·合作街道,北京川乾科技有限公司,"20人以下
         
          仪器仪表制造"
固定仓库配送轻松过万/时间自由/家门口上班+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员,1-1.2万·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资",经验不限,学历不限,西安·新城·长乐中路,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
急聘普工/操作工 月入7000（包住）,6000-7000元,"包住
社会保险
两班倒
周结
月结
组装工
分拣工
理货员",经验不限,学历不限,成都·郫都·团结街道,招安信息科技温江,"民营
         
          1000-9999人
         
          IT服务"
外卖骑手7块一单+配车有住宿,6000-7000元,"餐饮外卖
生鲜蔬果
会骑电动车
无犯罪记录
美团
饿了么
KFC宅急送",经验不限,学历不限,武汉·江岸,武汉东亿科技有限公司,"民营
         
          100-299人
         
          餐饮服务"
八小时工作制+五险+可小白,5000-8000元·13薪,全白班,无经验,中专/中技,德阳·旌阳区·八角井街道,中国大地财产保险股份有限公司,"国企
         
          10000人以上
         
          保险"
招普工/操作工-月入7000（包住-储物柜）,6000-7000元,"体检免费
厂内食堂
包住
做六休一
长白班
月休四天
月结
包装工
组装工
检验员",经验不限,学历不限,东莞·石排镇,东莞市昇达实业投资有限公司,"合资
         
          20-99人
         
          人力资源服务"
理科教师,8000-13000元,线下授课,1-3年,本科,杭州·上城·四季青,沈阳市百时教育培训中心,"民营
         
          1000-9999人
         
          培训/辅导服务"
售前工程师,6000-10000元·14薪,,1-3年,大专,成都·成华·龙潭,北京雷格讯电子股份有限公司,"民营
         
          100-299人
         
          电子/半导体/集成电路"
急招果蔬配送员/日均100单/+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员,7000-8000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,湛江·赤坎区·民主街道,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
不销售纯提醒双休客服（8K）+小白+五险一金,8000-13000元,"电话催收
司法催收
网络催收
M3催收",经验不限,高中,宁波·海曙·鼓楼,上海迪扬信息科技有限公司,"民营
         
          1000-9999人
         
          银行"
项目管理（年薪9-12万）,6000-8000元·13薪,,1-3年,本科,株洲·天元区·马家河街道,湖南潇湘人力资源服务有限公司,"股份制企业
         
          20-99人
         
          人力资源服务"
高级采购工程师,8000-15000元,,3-5年,本科,佛山·三水·云东海,佛山市金银河智能装备股份有限公司,"上市公司
         
          500-999人
         
          专用设备制造"
医疗耗材配送配送专员,4000-6000元,"高温补贴
节日福利",经验不限,学历不限,西安·未央·张家堡,陕西嘉事乾瑞医疗器械有限公司,"上市公司
         
          20-99人
         
          医疗设备/器械"
津市滨海新区石油新村中海油招保安,3000-4000元,,无经验,学历不限,天津·滨海新区·大沽,山东华威保安集团股份有限公司北京分公司,"民营
         
          1000-9999人
         
          专业技术服务"
文旅行政人事经理,5000-7000元,"绩效管理
薪酬福利
HRBP
行政人事主管/经理",3-5年,本科,南昌·进贤·二塘,江西聚仁堂实业发展集团有限公司,"民营
         
          1000-9999人
         
          房地产开发"
底薪8000起急招开车司机,9000-12000元,"C1
驾龄三年以上",3-5年,学历不限,深圳·龙岗·吉华,佛山市晨飞汽车租赁有限公司,"100-299人
         
          汽车智能互联"
接听客服 双休五险一金,5000-7000元·13薪,"售前客服
电话客服
售后客服",经验不限,大专,成都·武侯·桂溪,成都微招网络科技有限公司,"民营
         
          100-299人
         
          人力资源服务"
卡旺卡奶茶店员（安徽就近安排）,4000-8000元,"加班补贴
节日福利",经验不限,大专,合肥·包河·望湖,四川新南泰企业管理咨询有限公司,"民营
         
          300-499人
         
          人力资源服务"
财务管理员,3000-5000元,"财务分析
应收应付
预算
风控
上市企业
集团公司
会计初级职称",1-3年,本科,昆明·呈贡·洛羊,一心堂药业集团股份有限公司,"上市公司
         
          10000人以上
         
          零售/批发"
主管助理（包住+双休）,5000-10000元,"卫生管理
销售管理",经验不限,中专/中技,佛山·禅城·祖庙,佛山市明堂医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
无经验要求—接受—7500/月—双休+年假+可预支+带手机】,8000-13000元·13薪,"生产设备
电气设备
机电设备",经验不限,学历不限,蚌埠·五河县,四川沁博企业管理有限公司,"民营
         
          300-499人
         
          电子设备制造"
哈市普工日薪204/天，辅助机器供食宿,6000-7000元,"厂内食堂
恒温车间
做六休一
两班倒
月休四天
日结
组装工",经验不限,学历不限,哈尔滨·平房·兴建,吉林省吉信人力资源有限责任公司,"500-999人
         
          汽车零部件"
外贸业务员,6000-7000元,"欧美区域
迪拜",1-3年,本科,苏州·工业园区,苏州飞行者医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
电气设备销售经理,6000-12000元,"企业客户
KA大客户",5-10年,大专,天津·滨海新区·大沽,赛恩思电气技术(天津)有限公司,"股份制企业
         
          20-99人
         
          电子设备制造"
腾讯云智服用户服务专员（游戏）,4000-5000元,"网络客服
电话客服",经验不限,大专,银川·金凤区·北京中路街道,腾讯云智服科技(重庆)有限公司,"1000-9999人
         
          互联网"
