职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
后端开发工程师（java）,1.2-2万·13薪,"JavaScript
C#
C++
Mybatis
Spring
MySQL
Oracle
Redis",3-5年,本科,天津·河西·尖山,天津光电通信技术有限公司,"股份制企业
         
          1000-9999人
         
          通信/网络设备"
软件开发工程师,5000-8000元,"C#
JavaScript
CSS
Spring
Mybatis
Oracle
SQLServer",1-3年,大专,天津·西青·大寺,天津大桥焊材集团有限公司,"民营
         
          1000-9999人
         
          金属制品业"
中级 Java 开发工程师,1.1-1.4万,"Spring
MySQL",3-5年,本科,天津·和平·五大道,天津市盛为创新科技股份有限公司,"股份制企业
         
          20-99人
         
          IT服务"
java软件开发工程师,1.3-2万,"JavaScript
Spring",1年以下,本科,天津·滨海新区·大沽,沈阳金德塑业有限公司,"合资
         
          10000人以上
         
          建筑设备安装"
Java开发工程师（天津）,7000-10000元,,1-3年,本科,天津·和平·五大道,悦信物流(天津)股份有限公司,"股份制企业
         
          100-299人
         
          货运/物流/仓储"
Java中级开发工程师,8000-16000元,"JavaScript
Python
C++
Spring
Dubbo",3-5年,本科,天津·西青·大寺,天津鸿觉能源科技有限公司,"民营
         
          20-99人
         
          IT服务"
java软件开发工程师,1.2-2万,JavaScript,1-3年,大专,天津·和平·五大道,汕头市安尔网络科技有限公司,"300-499人
         
          互联网"
JAVA开发工程师,9000-11000元,"ACTIVITY
微服务经验
有AWS、阿里云、腾讯云等经验
MySQL
Oracle
Redis
Spring
SPRING BOOT
SPRINGMVC
Python
GO
node.js",3-5年,本科,天津·东丽·华明,盘锦辽河数码科技发展有限公司,"股份制企业
         
          100-299人
         
          IT服务"
高级java工程师,1.2-1.8万·13薪,"JavaScript
Spring
MySQL",3-5年,本科,天津·南开·学府,天津白泽清源科技有限公司,"民营
         
          20-99人
         
          电力/水利/热力/燃气"
JAVA工程师（校招）,1.2-1.8万·13薪,"JavaScript
Spring",经验不限,本科,天津·西青·张家窝,天地伟业,"民营
         
          1000-9999人
         
          计算机硬件"
Java开发,1-1.2万,Spring,5-10年,大专,天津·和平·南市,上海微创软件股份有限公司,"合资
         
          10000人以上
         
          IT服务"
Java开发（保险）,1.3-1.5万,"JavaScript
Spring",3-5年,本科,天津·和平·五大道,北京青钱信息技术有限公司,"民营
         
          500-999人
         
          计算机软件"
Java高级工程师,8000-12000元,"MySQL
Redis
Mybatis
Ehcache
Spring",3-5年,本科,天津·滨海新区·大沽,天津市北洋水运水利勘察设计研究院有限公司,"股份制企业
         
          20-99人
         
          学术/科研"
Java开发工程师,7000-12000元,,3-5年,本科,天津·和平·五大道,领途科技(天津)有限公司,"民营
         
          20-99人
         
          计算机软件"
高级Java开发工程师,1.4-1.5万,"JavaScript
Spring
MySQL
SPRINGCLOUD
SPRINGBOOT",5-10年,本科,天津·河北·光复道,北京信联互动科技有限公司,"民营
         
          20-99人
         
          计算机软件"
Java 后端 开发工程师,1-1.8万,"JavaScript
Python
CSS
Spring
Hibernate
MySQL
Oracle
SQLServer
0-1搭建
数据开源",3-5年,学历不限,天津·西青·西营门,天津星瞳智网科技有限责任公司,"股份制企业
         
          20-99人
         
          互联网"
Java开发工程师,4000-8000元,"SQL
HTML
MySQL
Oracle
Linux
Windows
后端开发
PHP",经验不限,本科,天津·河西·大营门,天津鑫海宇宏科技发展有限公司,"民营
         
          20-99人
         
          计算机软件"
Java,9000-10000元,,1-3年,本科,天津·河西·柳林,天津思普科技有限公司,"20-99人
         
          计算机软件"
java后端工程师,1-1.5万,"JavaScript
Spring
Mybatis
MySQL",3-5年,本科,天津·滨海新区·杭州道,上海辛玮智能科技有限公司,"民营
         
          20-99人
         
          IT服务"
Java开发（风险预警管理平台建设项目）,1.3-2万,"Spring
MySQL
Oracle
Redis",3-5年,本科,天津·东丽·华明,苏州安硕数科数据技术有限公司,"上市公司
         
          100-299人
         
          IT服务"
中级 Java 开发工程师,1.5-1.8万,"Vue
Java
SPRING BOOT",3-5年,本科,天津·河西·大营门,天津市盛为创新科技股份有限公司,"股份制企业
         
          20-99人
         
          IT服务"
JAVA工程师,2-3万,"Spring
JavaScript
CSS
MySQL",3-5年,本科,天津·西青·张家窝,万古人力科技集团有限公司,"民营
         
          20-99人
         
          人力资源服务"
软件工程师(J10016),1-1.5万,"Spring
MySQL",3-5年,本科,天津·武清·大王古庄,博思特能源装备(天津)股份有限公司,"股份制企业
         
          500-999人
         
          通用设备制造"
初级java开发工程师,1.2-1.5万,"Java
Vue
SPRING BOOT",1-3年,本科,天津·河西·大营门,天津市盛为创新科技股份有限公司,"股份制企业
         
          20-99人
         
          IT服务"
后端开发工程师-外派中汽研,1-1.4万,JavaScript,3-5年,本科,天津·东丽·新立,新拓尼克科技研发中心 / Syntronic Beijing R&D Center,"外商独资
         
          500-999人
         
          运营商/增值服务"
软件开发工程师,8000-10000元,"Java
C#
SQL Server",经验不限,本科,天津·南开·嘉陵道,英业达集团(天津)电子技术有限公司,"外商独资
         
          100-299人
         
          计算机软件"
java开发工程师（天津）,1-1.5万·13薪,开发,3-5年,本科,天津·南开·学府,北京用尚科技股份有限公司,"股份制企业
         
          100-299人
         
          计算机软件"
资深JAVA开发工程师,1.2-1.6万,"JavaScript
Spring
Mybatis
Struts
MySQL
Redis
J2EE",5-10年,本科,天津·河西·陈塘庄,天津柒佳科技有限公司,"民营
         
          20-99人
         
          IT服务"
