职位,关键词,薪水,工作经验,学历,工作地址,公司,公司情况
测试工程师,"软件测试
硬件测试
系统测试",1-1.5万·13薪,5-10年,本科,天津·西青·张家窝,天津海瑞电子科技有限公司,"民营
         
          20-99人
         
          电子/半导体/集成电路"
适航测试 短期半年,"功能测试
性能测试
C++
C",1.4-2万,3-5年,本科,天津·东丽·金桥,北京易才博普奥管理顾问有限公司,"民营
         
          500-999人
         
          咨询服务"
试验工程师,"软件测试
性能测试",7000-10000元,1-3年,本科,天津·宝坻·朝霞,华建天恒,"民营
         
          500-999人
         
          电气机械/电力设备"
复合制造与智能识别研究所—电机测试工程师,电气工程,8000-10000元,3-5年,大专,天津·东丽·华明,清华大学天津高端装备研究院,"事业单位
         
          100-299人
         
          电气机械/电力设备"
服务器测试（天津）,"服务器
SIT
BMC",1.1-1.5万,3-5年,本科,天津·东丽·华明,常州科睿达信息科技有限公司,"民营
         
          100-299人
         
          IT服务"
测试工程师（J13978）,"软件测试
性能测试
功能测试",1-1.3万·13薪,3-5年,本科,天津·西青·中北,天津谷川科技有限公司,"民营
         
          500-999人
         
          咨询服务"
测试工程师,通信测试,4000-6000元,5-10年,大专,天津·河西·马场,北京麒博创信科技有限公司,"民营
         
          20-99人
         
          通用设备制造"
测试工程师（天津）,"功能测试
性能测试
自动化测试
Python
Java
C
Postman
Selenium
Jmeter",8000-13000元,3-5年,本科,天津·河北·光复道,杭州友声科技股份有限公司,"民营
         
          500-999人
         
          运营商/增值服务"
研发测试工程师,,1.1-1.8万·16薪,3-5年,本科,天津·滨海新区·杭州道,天津市天河计算机技术有限公司,"国企
         
          20-99人
         
          计算机软件"
产品测试工程师,功能测试,5000-8000元,1-3年,本科,天津·滨海新区·塘沽,海格欧义艾姆(天津)电子有限公司,"国企
         
          500-999人
         
          电子/半导体/集成电路"
试验工程师-天津,"质量体系
环境可靠性",5000-7000元,1-3年,本科,天津·东丽·军粮城,北京中星试验技术有限公司,"民营
         
          100-299人
         
          企业服务"
安规测试工程师,"性能测试
功能测试
可靠性测试
医疗器械测试
电源测试
仪器仪表测试
兼容性测试",8000-12000元,3-5年,本科,天津·南开·嘉陵道,九安医疗,"股份制企业
         
          1000-9999人
         
          医药制造"
【2026】存储推广测试工程师-天津,"软件测试
linux",1-2万,无经验,本科,天津·西青·张家窝,曙光信息产业（北京）有限公司,"国企
         
          1000-9999人
         
          计算机硬件"
高级测试工程师,"Java
Python",1-1.5万,5-10年,本科,天津·北辰·双口,工大科雅,"上市公司
         
          500-999人
         
          电子/半导体/集成电路"
产品测试工程师,"软件测试
硬件测试
性能测试
C
测试用例
接口测试
C语言",8000-12000元,3-5年,本科,天津·滨海新区·杭州道,天津维创微智能科技有限公司,"民营
         
          20-99人
         
          电子/半导体/集成电路"
数据库测试工程师（2026届应届生）,"系统测试
性能测试
功能测试",面议,无经验,本科,天津·西青·西营门,南大通用数据,"民营
         
          300-499人
         
          计算机软件"
环境可靠性测试工程师,"性能测试
硬件测试",7000-12000元,1-3年,本科,天津·东丽·华明,北京蓝天弘高计量检测有限公司,"民营
         
          20-99人
         
          检测/认证"
测试工程师,"可靠性测试
可靠性试验
性能测试",6000-8000元,3-5年,大专,天津·北辰·小淀,天津瑞芯源智能科技有限责任公司,"民营
         
          100-299人
         
          仪器仪表制造"
测控工程师,"硬件测试
软件测试
C#
labview
通信测试
TCP
Modbus
CANoe",1-1.6万·13薪,3-5年,本科,天津·西青·精武镇,儒拉玛特自动化设备(天津)有限公司,"20-99人
         
          工业自动化"
qa测试工程师,硬件测试,6000-12000元,3-5年,本科,天津·西青·精武镇,天津松果测控技术有限公司,"民营
         
          20-99人
         
          军工制造"
测试工程师-工作地点：武清开发区,"软件测试
系统测试
性能测试",4000-6000元,经验不限,本科,天津·河西·大营门,天津美商捷美科技有限公司,"外商独资
         
          20-99人
         
          石油/石化"
测试工程师,性能测试,7000-12000元,经验不限,本科,天津·西青·精武镇,天津市奥特梅尔光电科技有限公司,"民营
         
          20-99人
         
          电子/半导体/集成电路"
测试工程师,"性能测试
可靠性测试
可靠性评估
无损检测
工业CT
工科
硬件测试",4000-8000元,经验不限,本科,天津·东丽·新立,天津三英精密仪器股份有限公司,"民营
         
          100-299人
         
          仪器仪表制造"
AGV测试和维护工程师,AGV测试,8000-11000元·14薪,1-3年,本科,天津·滨海新区·杭州道,SEW-传动设备(天津)有限公司,"外商独资
         
          1000-9999人
         
          电气机械/电力设备"
技术审核部管理岗,"化学检测
工程检测
试验检测工程师",5000-9000元,3-5年,本科,天津·北辰·双街,天津路宏实验检测技术发展有限公司,"国企
         
          20-99人
         
          检测/认证"
测试工程师,"性能测试
功能测试",4000-6000元,1-3年,大专,天津·滨海新区·北塘,天津飞图同辉科技有限公司,"民营
         
          20-99人
         
          计算机软件"
智能测试开发工程师,"编程
需求分析",1.3-2万,1-3年,硕士,天津·南开·学府,天津朝霞摩托车技术开发有限公司,"港澳台公司
         
          20-99人
         
          汽车研发/制造"
