招骑手提供车宿电单车,7000-9000元,"公司提供电动车/摩托车
无驾照要求
餐饮外卖",经验不限,学历不限,福州·长乐·航城,天津吉城美家生活服务有限公司,"民营
         
          100-299人
         
          餐饮服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新能源网约车司机时间自由，收入稳定,6000-12000元,"C1驾照
无犯罪、酒驾记录
近3年无记满12分记录
熟悉本地路况
熟练使用导航
3-5年驾龄
公司提供电车",3-5年,学历不限,南京·栖霞·燕子矶,南京永皓达汽车科技有限公司,"民营
         
          500-999人
         
          租赁服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
站点直招外卖骑手提供车吃住可预支,6000-7000元,"外卖骑手
配送员
送餐员",经验不限,学历不限,黄石·黄石港区·花湖街道,武汉东亿科技有限公司,"民营
         
          100-299人
         
          餐饮服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
档案管理员,7000-9000元·13薪,"档案数字化
档案管理体系建设
档案整理",3-5年,本科,重庆·江北,重庆安于诺财税服务有限公司,"民营
         
          100-299人
         
          财务/审计/税务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-12K信息技术专员/助理+周末双休+入职缴纳五险一金,7000-12000元,,1-3年,大专,大连·甘井子·凌水,江西锦海企业管理有限公司,"民营
         
          100-299人
         
          人力资源服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外卖员高薪直招就近安排,7000-9000元,"饿了么
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,高中,武汉·江汉·北湖街,武汉鑫阳通企业管理有限公司,"民营
         
          100-299人
         
          餐饮服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商务助理,6000-8000元,,经验不限,本科,北京·昌平·史各庄,北京车易付科技股份有限公司,"民营
         
          100-299人
         
          IT服务",已上市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java，前端都有需求（接受中长期出差，需要现场面试，有差补）,6000-7000元,Java,1-3年,大专,西安·碑林·张家村,大连斯锐信息技术有限公司,"民营
         
          1000-9999人
         
          计算机软件",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数据标注,3000-6000元,"图像标注
语音标注
音频标注
视频标注
文本标注",经验不限,大专,成都·新津·花源,四川瑞吉慧析数据科技有限公司,"民营
         
          20-99人
         
          人工智能",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0元入职身无分文也可以直招外卖员包吃住,8000-12000元,"包吃
包吃住
饿了么
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,武汉·江汉·唐家墩街,武汉鑫阳通企业管理有限公司,"民营
         
          100-299人
         
          餐饮服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美团服务运营-本地生活,面议,,1-3年,本科,上海,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网",互联网100强,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
